--- TABLA: PERSONA ---
dni|nombre|apellido|edad|nacionalidad
10001865W|Nombre_1865|Apellido_1865|41|Española
10001866W|Nombre_1866|Apellido_1866|28|Argentina
10001867X|Nombre_1867|Apellido_1867|37|Mexicana
10001868D|Nombre_1868|Apellido_1868|40|Chilena
10001869M|Nombre_1869|Apellido_1869|27|Argentina
10001870G|Nombre_1870|Apellido_1870|68|Colombiana
10001871W|Nombre_1871|Apellido_1871|31|Mexicana
10001872Z|Nombre_1872|Apellido_1872|80|Chilena
10001873T|Nombre_1873|Apellido_1873|53|Mexicana
10001874L|Nombre_1874|Apellido_1874|82|Chilena
10001875C|Nombre_1875|Apellido_1875|76|Argentina
10001876J|Nombre_1876|Apellido_1876|27|Colombiana
10001877F|Nombre_1877|Apellido_1877|59|Argentina
10001878Q|Nombre_1878|Apellido_1878|30|Colombiana
10001879F|Nombre_1879|Apellido_1879|48|Argentina
10001880Y|Nombre_1880|Apellido_1880|85|Mexicana
10001881Y|Nombre_1881|Apellido_1881|53|Chilena
10001882W|Nombre_1882|Apellido_1882|37|Española
10001883S|Nombre_1883|Apellido_1883|79|Chilena
10001884H|Nombre_1884|Apellido_1884|69|Chilena
10001885C|Nombre_1885|Apellido_1885|57|Mexicana
10001886M|Nombre_1886|Apellido_1886|52|Chilena
10001887D|Nombre_1887|Apellido_1887|40|Española
10001888K|Nombre_1888|Apellido_1888|45|Mexicana
10001889V|Nombre_1889|Apellido_1889|62|Argentina
10001890X|Nombre_1890|Apellido_1890|50|Colombiana
10001891N|Nombre_1891|Apellido_1891|22|Mexicana
10001892F|Nombre_1892|Apellido_1892|74|Chilena
10001893G|Nombre_1893|Apellido_1893|46|Argentina
10001894R|Nombre_1894|Apellido_1894|49|Chilena
10001895V|Nombre_1895|Apellido_1895|45|Española
10001896C|Nombre_1896|Apellido_1896|46|Colombiana
10001897P|Nombre_1897|Apellido_1897|52|Mexicana
10001898V|Nombre_1898|Apellido_1898|47|Española
10001899J|Nombre_1899|Apellido_1899|70|Colombiana
10001900F|Nombre_1900|Apellido_1900|44|Española
10001901V|Nombre_1901|Apellido_1901|56|Mexicana
10001902G|Nombre_1902|Apellido_1902|66|Chilena
10001903N|Nombre_1903|Apellido_1903|75|Mexicana
10001904K|Nombre_1904|Apellido_1904|74|Chilena
10001905N|Nombre_1905|Apellido_1905|85|Mexicana
10001906W|Nombre_1906|Apellido_1906|24|Española
10001907J|Nombre_1907|Apellido_1907|24|Chilena
10001908E|Nombre_1908|Apellido_1908|85|Argentina
10001909M|Nombre_1909|Apellido_1909|78|Colombiana
10001910Y|Nombre_1910|Apellido_1910|32|Española
10001911A|Nombre_1911|Apellido_1911|70|Chilena
10001912F|Nombre_1912|Apellido_1912|46|Chilena
10001913L|Nombre_1913|Apellido_1913|66|Española
10001914L|Nombre_1914|Apellido_1914|75|Chilena
10001915W|Nombre_1915|Apellido_1915|19|Colombiana
10001916Y|Nombre_1916|Apellido_1916|20|Española
10001917W|Nombre_1917|Apellido_1917|84|Chilena
10001918D|Nombre_1918|Apellido_1918|30|Argentina
10001919Y|Nombre_1919|Apellido_1919|41|Española
10001920C|Nombre_1920|Apellido_1920|52|Argentina
10001921B|Nombre_1921|Apellido_1921|38|Española
10001922L|Nombre_1922|Apellido_1922|75|Argentina
10001923S|Nombre_1923|Apellido_1923|66|Colombiana
10001924V|Nombre_1924|Apellido_1924|39|Argentina
10001925X|Nombre_1925|Apellido_1925|35|Argentina
10001926T|Nombre_1926|Apellido_1926|84|Colombiana
10001927H|Nombre_1927|Apellido_1927|29|Mexicana
10001928C|Nombre_1928|Apellido_1928|27|Mexicana
10001929C|Nombre_1929|Apellido_1929|56|Colombiana
10001930P|Nombre_1930|Apellido_1930|30|Argentina
10001931Q|Nombre_1931|Apellido_1931|61|Española
10001932P|Nombre_1932|Apellido_1932|48|Española
10001933E|Nombre_1933|Apellido_1933|60|Colombiana
10001934Q|Nombre_1934|Apellido_1934|23|Colombiana
10001935A|Nombre_1935|Apellido_1935|42|Mexicana
10001936C|Nombre_1936|Apellido_1936|62|Colombiana
10001937N|Nombre_1937|Apellido_1937|71|Colombiana
10001938S|Nombre_1938|Apellido_1938|34|Colombiana
10001939N|Nombre_1939|Apellido_1939|26|Argentina
10001940R|Nombre_1940|Apellido_1940|29|Colombiana
10001941L|Nombre_1941|Apellido_1941|55|Chilena
10001942N|Nombre_1942|Apellido_1942|47|Argentina
10001943K|Nombre_1943|Apellido_1943|25|Colombiana
10001944B|Nombre_1944|Apellido_1944|73|Argentina
10001945Q|Nombre_1945|Apellido_1945|54|Mexicana
10001946H|Nombre_1946|Apellido_1946|42|Colombiana
10001947L|Nombre_1947|Apellido_1947|18|Colombiana
10001948Q|Nombre_1948|Apellido_1948|51|Mexicana
10001949Y|Nombre_1949|Apellido_1949|29|Chilena
10001950D|Nombre_1950|Apellido_1950|33|Chilena
10001951M|Nombre_1951|Apellido_1951|57|Colombiana
10001952J|Nombre_1952|Apellido_1952|78|Mexicana
10001953R|Nombre_1953|Apellido_1953|83|Colombiana
10001954G|Nombre_1954|Apellido_1954|27|Argentina
10001955K|Nombre_1955|Apellido_1955|37|Española
10001956R|Nombre_1956|Apellido_1956|43|Colombiana
10001957G|Nombre_1957|Apellido_1957|19|Mexicana
10001958Q|Nombre_1958|Apellido_1958|49|Argentina
10001959B|Nombre_1959|Apellido_1959|54|Chilena
10001960M|Nombre_1960|Apellido_1960|65|Mexicana
10001961Y|Nombre_1961|Apellido_1961|38|Española
10001962J|Nombre_1962|Apellido_1962|53|Mexicana
10001963X|Nombre_1963|Apellido_1963|20|Argentina
10001964E|Nombre_1964|Apellido_1964|44|Argentina
10001965G|Nombre_1965|Apellido_1965|25|Española
10001966X|Nombre_1966|Apellido_1966|75|Colombiana
10001967N|Nombre_1967|Apellido_1967|31|Chilena
10001968F|Nombre_1968|Apellido_1968|63|Chilena
10001969L|Nombre_1969|Apellido_1969|77|Española
10001970J|Nombre_1970|Apellido_1970|79|Chilena
10001971N|Nombre_1971|Apellido_1971|37|Colombiana
10001972Z|Nombre_1972|Apellido_1972|40|Española
10001973X|Nombre_1973|Apellido_1973|26|Colombiana
10001974V|Nombre_1974|Apellido_1974|60|Argentina
10001975X|Nombre_1975|Apellido_1975|37|Colombiana
10001976Q|Nombre_1976|Apellido_1976|71|Colombiana
10001977X|Nombre_1977|Apellido_1977|24|Argentina
10001978M|Nombre_1978|Apellido_1978|54|Argentina
10001979C|Nombre_1979|Apellido_1979|70|Mexicana
10001980L|Nombre_1980|Apellido_1980|48|Chilena
10001981P|Nombre_1981|Apellido_1981|23|Chilena
10001982P|Nombre_1982|Apellido_1982|56|Colombiana
10001983F|Nombre_1983|Apellido_1983|31|Chilena
10001984R|Nombre_1984|Apellido_1984|24|Argentina
10001985N|Nombre_1985|Apellido_1985|34|Colombiana
10001986S|Nombre_1986|Apellido_1986|77|Argentina
10001987W|Nombre_1987|Apellido_1987|23|Mexicana
10001988M|Nombre_1988|Apellido_1988|56|Chilena
10001989D|Nombre_1989|Apellido_1989|32|Española
10001990L|Nombre_1990|Apellido_1990|24|Chilena
10001991Y|Nombre_1991|Apellido_1991|61|Mexicana
10001992D|Nombre_1992|Apellido_1992|47|Mexicana
10001993G|Nombre_1993|Apellido_1993|77|Mexicana
10001994W|Nombre_1994|Apellido_1994|77|Mexicana
10001995C|Nombre_1995|Apellido_1995|32|Colombiana
10001996A|Nombre_1996|Apellido_1996|23|Chilena
10001997M|Nombre_1997|Apellido_1997|66|Mexicana
10001998V|Nombre_1998|Apellido_1998|38|Española
10001999Q|Nombre_1999|Apellido_1999|40|Española


--- TABLA: POLIZA ---
num_poliza|producto|dni_tomador|estado|fecha_efecto|fecha_vencimiento|forma_pago
POL-100000|AUTO|10000748S|SUSPENSO|2024-04-06|2025-04-06|TRIMESTRAL
POL-100001|VIDA|10001469P|ACTIVO|2024-04-16|2025-04-16|ANUAL
POL-100002|VIDA|10001382Z|ANULADO|2023-06-15|2024-06-14|TRIMESTRAL
POL-100003|VIDA|10000521V|SUSPENSO|2023-05-29|2024-05-28|TRIMESTRAL
POL-100004|SALUD|10001314B|ACTIVO|2023-12-26|2024-12-25|ANUAL
POL-100005|SALUD|10001720L|ACTIVO|2023-12-23|2024-12-22|MENSUAL
POL-100006|VIDA|10001613X|ACTIVO|2024-11-03|2025-11-03|ANUAL
POL-100007|VIDA|10001427L|SUSPENSO|2023-07-03|2024-07-02|MENSUAL
POL-100008|SALUD|10001498M|ANULADO|2024-07-20|2025-07-20|MENSUAL
POL-100009|AUTO|10000754C|ANULADO|2023-11-02|2024-11-01|ANUAL
POL-100010|SALUD|10001317M|SUSPENSO|2024-09-09|2025-09-09|ANUAL
POL-100011|VIDA|10000995W|ACTIVO|2024-04-21|2025-04-21|ANUAL
POL-100012|AUTO|10000176D|ANULADO|2023-08-03|2024-08-02|ANUAL
POL-100013|VIDA|10001466R|ANULADO|2023-10-18|2024-10-17|TRIMESTRAL
POL-100014|VIDA|10001271V|ANULADO|2024-08-10|2025-08-10|ANUAL
POL-100015|VIDA|10000082H|ACTIVO|2023-11-09|2024-11-08|ANUAL
POL-100016|HOGAR|10001653B|SUSPENSO|2023-12-05|2024-12-04|ANUAL
POL-100017|SALUD|10001436H|ANULADO|2024-07-30|2025-07-30|ANUAL
POL-100018|VIDA|10001495F|ANULADO|2023-12-10|2024-12-09|TRIMESTRAL
POL-100019|AUTO|10001927H|SUSPENSO|2023-08-11|2024-08-10|TRIMESTRAL
POL-100020|HOGAR|10001796Q|ANULADO|2024-06-10|2025-06-10|MENSUAL
POL-100021|VIDA|10000169F|ANULADO|2024-09-23|2025-09-23|ANUAL
POL-100022|SALUD|10001982P|ANULADO|2023-04-06|2024-04-05|ANUAL
POL-100023|AUTO|10000643P|ANULADO|2024-04-10|2025-04-10|ANUAL
POL-100024|VIDA|10001996A|ANULADO|2024-01-19|2025-01-18|MENSUAL
POL-100025|AUTO|10000970N|SUSPENSO|2024-02-29|2025-02-28|MENSUAL
POL-100026|HOGAR|10000144A|SUSPENSO|2023-11-12|2024-11-11|TRIMESTRAL
POL-100027|SALUD|10000497K|SUSPENSO|2023-12-10|2024-12-09|TRIMESTRAL
POL-100028|VIDA|10001268B|ANULADO|2023-10-30|2024-10-29|MENSUAL
POL-100029|AUTO|10001038K|ANULADO|2023-01-17|2024-01-17|ANUAL
POL-100030|HOGAR|10001662X|ANULADO|2023-09-22|2024-09-21|TRIMESTRAL
POL-100031|HOGAR|10000661M|ANULADO|2023-09-28|2024-09-27|ANUAL
POL-100032|VIDA|10001528F|ACTIVO|2023-06-03|2024-06-02|TRIMESTRAL
POL-100033|HOGAR|10000892W|ACTIVO|2024-05-27|2025-05-27|MENSUAL
POL-100034|VIDA|10000878S|SUSPENSO|2024-11-09|2025-11-09|MENSUAL
POL-100035|VIDA|10001399S|ACTIVO|2024-05-05|2025-05-05|ANUAL
POL-100036|HOGAR|10001855R|SUSPENSO|2023-11-22|2024-11-21|TRIMESTRAL
POL-100037|VIDA|10001886M|ACTIVO|2024-10-03|2025-10-03|ANUAL
POL-100038|SALUD|10000833V|SUSPENSO|2024-10-24|2025-10-24|ANUAL
POL-100039|SALUD|10000419Q|SUSPENSO|2024-09-27|2025-09-27|TRIMESTRAL
POL-100040|SALUD|10001008X|ANULADO|2024-10-21|2025-10-21|ANUAL
POL-100041|SALUD|10000767A|ANULADO|2023-05-30|2024-05-29|ANUAL
POL-100042|HOGAR|10001458B|ACTIVO|2023-11-09|2024-11-08|TRIMESTRAL
POL-100043|AUTO|10000041N|ANULADO|2023-03-11|2024-03-10|TRIMESTRAL
POL-100044|VIDA|10000502Q|ANULADO|2024-08-23|2025-08-23|TRIMESTRAL
POL-100045|VIDA|10000852L|SUSPENSO|2024-09-17|2025-09-17|ANUAL
POL-100046|VIDA|10000283P|ACTIVO|2023-11-10|2024-11-09|MENSUAL
POL-100047|SALUD|10001765B|SUSPENSO|2024-06-27|2025-06-27|TRIMESTRAL
POL-100048|HOGAR|10000095K|ACTIVO|2024-03-20|2025-03-20|MENSUAL
POL-100049|SALUD|10001660A|ANULADO|2024-03-07|2025-03-07|TRIMESTRAL
POL-100050|VIDA|10000833V|ACTIVO|2024-06-13|2025-06-13|MENSUAL
POL-100051|AUTO|10000240W|ANULADO|2023-11-15|2024-11-14|MENSUAL
POL-100052|SALUD|10001277K|SUSPENSO|2024-09-23|2025-09-23|TRIMESTRAL
POL-100053|AUTO|10000543G|ANULADO|2024-09-10|2025-09-10|ANUAL
POL-100054|AUTO|10000843N|ANULADO|2023-04-13|2024-04-12|TRIMESTRAL
POL-100055|SALUD|10001587P|ANULADO|2024-02-01|2025-01-31|TRIMESTRAL
POL-100056|HOGAR|10001445H|SUSPENSO|2024-01-30|2025-01-29|MENSUAL
POL-100057|VIDA|10001940R|ACTIVO|2023-12-31|2024-12-30|ANUAL
POL-100058|AUTO|10000683D|SUSPENSO|2024-04-25|2025-04-25|MENSUAL
POL-100059|VIDA|10000876B|SUSPENSO|2023-02-12|2024-02-12|TRIMESTRAL
POL-100060|SALUD|10000417E|SUSPENSO|2024-03-23|2025-03-23|ANUAL
POL-100061|SALUD|10001043S|ACTIVO|2024-07-30|2025-07-30|ANUAL
POL-100062|SALUD|10000693R|SUSPENSO|2023-02-24|2024-02-24|ANUAL
POL-100063|AUTO|10001380K|SUSPENSO|2023-10-01|2024-09-30|MENSUAL
POL-100064|SALUD|10000372W|ACTIVO|2023-07-26|2024-07-25|MENSUAL
POL-100065|SALUD|10000040W|SUSPENSO|2023-11-10|2024-11-09|ANUAL
POL-100066|SALUD|10000940N|ANULADO|2023-12-20|2024-12-19|ANUAL
POL-100067|AUTO|10000306K|ACTIVO|2023-12-16|2024-12-15|TRIMESTRAL
POL-100068|VIDA|10000840K|ACTIVO|2023-04-03|2024-04-02|ANUAL
POL-100069|AUTO|10000771T|ANULADO|2023-11-07|2024-11-06|MENSUAL
POL-100070|SALUD|10000606H|SUSPENSO|2024-10-01|2025-10-01|MENSUAL
POL-100071|AUTO|10000225Z|ACTIVO|2023-07-03|2024-07-02|MENSUAL
POL-100072|VIDA|10000250M|ACTIVO|2023-05-09|2024-05-08|MENSUAL
POL-100073|HOGAR|10000221J|SUSPENSO|2024-09-18|2025-09-18|TRIMESTRAL
POL-100074|AUTO|10000098X|ACTIVO|2023-08-02|2024-08-01|ANUAL
POL-100075|HOGAR|10001476L|ACTIVO|2024-10-07|2025-10-07|ANUAL
POL-100076|AUTO|10000295A|SUSPENSO|2024-03-18|2025-03-18|MENSUAL
POL-100077|VIDA|10001435G|SUSPENSO|2023-11-29|2024-11-28|TRIMESTRAL
POL-100078|VIDA|10001250T|SUSPENSO|2023-02-10|2024-02-10|ANUAL
POL-100079|VIDA|10000189L|SUSPENSO|2023-08-24|2024-08-23|ANUAL
POL-100080|SALUD|10001508W|ANULADO|2024-04-23|2025-04-23|TRIMESTRAL
POL-100081|HOGAR|10000402C|ACTIVO|2024-01-18|2025-01-17|TRIMESTRAL
POL-100082|HOGAR|10001683T|ACTIVO|2024-01-12|2025-01-11|ANUAL
POL-100083|SALUD|10001235W|ANULADO|2023-11-20|2024-11-19|TRIMESTRAL
POL-100084|SALUD|10000759Y|ANULADO|2024-08-18|2025-08-18|TRIMESTRAL
POL-100085|VIDA|10001037V|ACTIVO|2024-06-17|2025-06-17|MENSUAL
POL-100086|HOGAR|10001781P|SUSPENSO|2024-08-20|2025-08-20|TRIMESTRAL
POL-100087|SALUD|10001181H|ACTIVO|2023-03-20|2024-03-19|ANUAL
POL-100088|HOGAR|10000702P|SUSPENSO|2023-02-10|2024-02-10|MENSUAL
POL-100089|SALUD|10001936C|ANULADO|2024-05-13|2025-05-13|MENSUAL
POL-100090|VIDA|10001814P|ACTIVO|2024-07-19|2025-07-19|MENSUAL
POL-100091|VIDA|10001504X|SUSPENSO|2024-03-28|2025-03-28|MENSUAL
POL-100092|AUTO|10001240F|SUSPENSO|2024-02-17|2025-02-16|TRIMESTRAL
POL-100093|SALUD|10000510H|ACTIVO|2024-03-21|2025-03-21|ANUAL
POL-100094|SALUD|10001848P|SUSPENSO|2024-02-17|2025-02-16|MENSUAL
POL-100095|HOGAR|10001719J|ANULADO|2023-06-25|2024-06-24|MENSUAL
POL-100096|VIDA|10001483D|SUSPENSO|2023-01-01|2024-01-01|MENSUAL
POL-100097|SALUD|10001628Z|SUSPENSO|2024-10-31|2025-10-31|MENSUAL
POL-100098|AUTO|10001028Y|ANULADO|2024-02-15|2025-02-14|MENSUAL
POL-100099|VIDA|10001861N|ACTIVO|2024-06-12|2025-06-12|MENSUAL
POL-100100|VIDA|10000822L|ACTIVO|2023-06-15|2024-06-14|TRIMESTRAL
POL-100101|SALUD|10000902E|SUSPENSO|2023-12-20|2024-12-19|ANUAL
POL-100102|HOGAR|10000810P|SUSPENSO|2023-10-18|2024-10-17|TRIMESTRAL
POL-100103|VIDA|10001737Z|ANULADO|2024-09-15|2025-09-15|ANUAL
POL-100104|SALUD|10000841C|ACTIVO|2024-05-18|2025-05-18|ANUAL
POL-100105|VIDA|10001797Y|ANULADO|2023-07-29|2024-07-28|ANUAL
POL-100106|AUTO|10001111B|ANULADO|2023-04-13|2024-04-12|TRIMESTRAL
POL-100107|SALUD|10000884F|SUSPENSO|2024-04-30|2025-04-30|ANUAL
POL-100108|AUTO|10001986S|ACTIVO|2023-12-12|2024-12-11|MENSUAL
POL-100109|VIDA|10001744H|ACTIVO|2023-07-13|2024-07-12|TRIMESTRAL
POL-100110|SALUD|10000357B|ANULADO|2023-01-09|2024-01-09|ANUAL
POL-100111|VIDA|10000772T|ANULADO|2024-02-05|2025-02-04|TRIMESTRAL
POL-100112|VIDA|10001348C|ANULADO|2024-10-15|2025-10-15|MENSUAL
POL-100113|VIDA|10001688B|ANULADO|2024-05-17|2025-05-17|MENSUAL
POL-100114|HOGAR|10001158A|ACTIVO|2023-05-19|2024-05-18|ANUAL
POL-100115|HOGAR|10001583E|SUSPENSO|2024-02-25|2025-02-24|TRIMESTRAL
POL-100116|AUTO|10000832Z|SUSPENSO|2023-08-28|2024-08-27|MENSUAL
POL-100117|AUTO|10000252K|ANULADO|2023-05-19|2024-05-18|MENSUAL
POL-100118|SALUD|10000411T|SUSPENSO|2024-04-22|2025-04-22|TRIMESTRAL
POL-100119|VIDA|10001519S|ACTIVO|2023-07-26|2024-07-25|TRIMESTRAL
POL-100120|VIDA|10000807N|ANULADO|2023-11-04|2024-11-03|TRIMESTRAL
POL-100121|AUTO|10001228L|ACTIVO|2024-06-19|2025-06-19|MENSUAL
POL-100122|VIDA|10001681Z|ACTIVO|2023-02-28|2024-02-28|ANUAL
POL-100123|AUTO|10001695X|SUSPENSO|2023-03-10|2024-03-09|TRIMESTRAL
POL-100124|AUTO|10000035M|ANULADO|2023-04-25|2024-04-24|ANUAL
POL-100125|HOGAR|10000005J|ANULADO|2023-02-16|2024-02-16|TRIMESTRAL
POL-100126|AUTO|10000921M|SUSPENSO|2023-02-17|2024-02-17|TRIMESTRAL
POL-100127|SALUD|10000068B|ANULADO|2023-11-29|2024-11-28|ANUAL
POL-100128|VIDA|10001486W|ANULADO|2024-07-05|2025-07-05|ANUAL
POL-100129|HOGAR|10000500P|SUSPENSO|2024-03-12|2025-03-12|TRIMESTRAL
POL-100130|SALUD|10000770X|SUSPENSO|2023-06-25|2024-06-24|TRIMESTRAL
POL-100131|HOGAR|10000648Z|ANULADO|2023-10-23|2024-10-22|TRIMESTRAL
POL-100132|HOGAR|10000661M|SUSPENSO|2023-04-02|2024-04-01|ANUAL
POL-100133|VIDA|10001370R|ANULADO|2023-04-08|2024-04-07|TRIMESTRAL
POL-100134|VIDA|10000001K|ACTIVO|2024-08-22|2025-08-22|MENSUAL
POL-100135|VIDA|10000106A|ACTIVO|2023-10-26|2024-10-25|ANUAL
POL-100136|SALUD|10001574Y|ANULADO|2023-12-06|2024-12-05|MENSUAL
POL-100137|HOGAR|10001287D|ACTIVO|2024-10-14|2025-10-14|MENSUAL
POL-100138|VIDA|10001317M|ACTIVO|2023-04-21|2024-04-20|TRIMESTRAL
POL-100139|AUTO|10001254K|SUSPENSO|2024-08-21|2025-08-21|TRIMESTRAL
POL-100140|VIDA|10001743A|ANULADO|2024-11-04|2025-11-04|MENSUAL
POL-100141|SALUD|10000725P|SUSPENSO|2024-06-18|2025-06-18|MENSUAL
POL-100142|AUTO|10001325F|ACTIVO|2023-02-23|2024-02-23|MENSUAL
POL-100143|VIDA|10001802N|SUSPENSO|2024-08-27|2025-08-27|MENSUAL
POL-100144|HOGAR|10001683T|ACTIVO|2023-06-18|2024-06-17|TRIMESTRAL
POL-100145|HOGAR|10001922L|SUSPENSO|2024-03-07|2025-03-07|MENSUAL
POL-100146|AUTO|10000092Y|ACTIVO|2023-09-02|2024-09-01|TRIMESTRAL
POL-100147|HOGAR|10000270M|ANULADO|2023-05-18|2024-05-17|ANUAL
POL-100148|HOGAR|10000713D|ACTIVO|2024-11-19|2025-11-19|TRIMESTRAL
POL-100149|SALUD|10001813V|SUSPENSO|2023-09-21|2024-09-20|MENSUAL
POL-100150|VIDA|10000210A|ANULADO|2024-04-02|2025-04-02|TRIMESTRAL
POL-100151|AUTO|10001625L|ACTIVO|2023-09-21|2024-09-20|TRIMESTRAL
POL-100152|HOGAR|10001748Y|SUSPENSO|2023-06-26|2024-06-25|TRIMESTRAL
POL-100153|SALUD|10001240F|ACTIVO|2023-01-03|2024-01-03|ANUAL
POL-100154|HOGAR|10000788Q|SUSPENSO|2023-05-08|2024-05-07|ANUAL
POL-100155|HOGAR|10000174K|ACTIVO|2023-07-23|2024-07-22|TRIMESTRAL
POL-100156|AUTO|10001548R|ACTIVO|2024-02-15|2025-02-14|MENSUAL
POL-100157|HOGAR|10000567K|ACTIVO|2023-11-20|2024-11-19|ANUAL
POL-100158|AUTO|10001180F|ACTIVO|2023-03-03|2024-03-02|MENSUAL
POL-100159|AUTO|10000269K|SUSPENSO|2024-04-20|2025-04-20|ANUAL
POL-100160|HOGAR|10000630W|SUSPENSO|2024-07-23|2025-07-23|TRIMESTRAL
POL-100161|AUTO|10000774E|SUSPENSO|2024-06-07|2025-06-07|MENSUAL
POL-100162|HOGAR|10001611Q|SUSPENSO|2024-08-30|2025-08-30|ANUAL
POL-100163|VIDA|10001885C|ACTIVO|2024-01-16|2025-01-15|TRIMESTRAL
POL-100164|HOGAR|10001700Q|SUSPENSO|2024-06-15|2025-06-15|TRIMESTRAL
POL-100165|SALUD|10000742R|ACTIVO|2024-02-20|2025-02-19|TRIMESTRAL
POL-100166|AUTO|10001318L|ACTIVO|2023-01-29|2024-01-29|TRIMESTRAL
POL-100167|SALUD|10001898V|ANULADO|2023-05-14|2024-05-13|TRIMESTRAL
POL-100168|AUTO|10001798Y|ACTIVO|2024-10-14|2025-10-14|ANUAL
POL-100169|HOGAR|10000152N|ACTIVO|2024-09-03|2025-09-03|MENSUAL
POL-100170|AUTO|10001878Q|ACTIVO|2023-09-03|2024-09-02|TRIMESTRAL
POL-100171|HOGAR|10001937N|SUSPENSO|2024-08-30|2025-08-30|TRIMESTRAL
POL-100172|AUTO|10000949A|SUSPENSO|2024-04-16|2025-04-16|TRIMESTRAL
POL-100173|SALUD|10001291G|ACTIVO|2023-06-08|2024-06-07|TRIMESTRAL
POL-100174|SALUD|10001050Y|ACTIVO|2024-07-19|2025-07-19|TRIMESTRAL
POL-100175|AUTO|10000384J|ANULADO|2023-10-14|2024-10-13|TRIMESTRAL
POL-100176|AUTO|10000288S|ANULADO|2023-04-16|2024-04-15|TRIMESTRAL
POL-100177|AUTO|10000797J|ANULADO|2024-07-25|2025-07-25|ANUAL
POL-100178|SALUD|10001414R|SUSPENSO|2024-10-08|2025-10-08|MENSUAL
POL-100179|SALUD|10001080G|ANULADO|2024-01-03|2025-01-02|ANUAL
POL-100180|VIDA|10000982S|ACTIVO|2024-08-08|2025-08-08|TRIMESTRAL
POL-100181|HOGAR|10001798Y|ANULADO|2024-01-14|2025-01-13|ANUAL
POL-100182|HOGAR|10000708X|SUSPENSO|2024-10-27|2025-10-27|MENSUAL
POL-100183|VIDA|10000670B|SUSPENSO|2024-11-05|2025-11-05|MENSUAL
POL-100184|HOGAR|10000981R|ACTIVO|2023-05-25|2024-05-24|TRIMESTRAL
POL-100185|SALUD|10001246Z|SUSPENSO|2023-02-03|2024-02-03|TRIMESTRAL
POL-100186|VIDA|10001152Z|ACTIVO|2023-12-20|2024-12-19|ANUAL
POL-100187|SALUD|10001819R|ANULADO|2023-12-01|2024-11-30|MENSUAL
POL-100188|HOGAR|10000392H|ACTIVO|2024-09-21|2025-09-21|ANUAL
POL-100189|VIDA|10001142M|ACTIVO|2024-02-22|2025-02-21|MENSUAL
POL-100190|SALUD|10000560F|SUSPENSO|2024-05-31|2025-05-31|ANUAL
POL-100191|HOGAR|10001536Q|SUSPENSO|2023-08-26|2024-08-25|ANUAL
POL-100192|VIDA|10001535M|SUSPENSO|2023-11-13|2024-11-12|ANUAL
POL-100193|VIDA|10000880N|SUSPENSO|2024-11-24|2025-11-24|TRIMESTRAL
POL-100194|AUTO|10001151P|SUSPENSO|2023-02-18|2024-02-18|ANUAL
POL-100195|HOGAR|10000344E|ACTIVO|2023-05-30|2024-05-29|MENSUAL
POL-100196|AUTO|10001894R|ANULADO|2023-04-17|2024-04-16|MENSUAL
POL-100197|AUTO|10000716F|SUSPENSO|2024-08-01|2025-08-01|ANUAL
POL-100198|AUTO|10001386H|SUSPENSO|2023-02-13|2024-02-13|MENSUAL
POL-100199|VIDA|10001221C|ANULADO|2023-10-01|2024-09-30|TRIMESTRAL
POL-100200|VIDA|10001896C|ACTIVO|2023-04-10|2024-04-09|MENSUAL
POL-100201|HOGAR|10000347S|ACTIVO|2024-03-24|2025-03-24|MENSUAL
POL-100202|AUTO|10001370R|ACTIVO|2024-10-20|2025-10-20|ANUAL
POL-100203|HOGAR|10001004J|ANULADO|2024-05-03|2025-05-03|MENSUAL
POL-100204|HOGAR|10000859P|ACTIVO|2023-10-27|2024-10-26|MENSUAL
POL-100205|VIDA|10001129Q|SUSPENSO|2023-06-13|2024-06-12|MENSUAL
POL-100206|AUTO|10001716X|SUSPENSO|2024-11-16|2025-11-16|MENSUAL
POL-100207|HOGAR|10000822L|ACTIVO|2024-07-14|2025-07-14|ANUAL
POL-100208|VIDA|10000435N|SUSPENSO|2024-07-08|2025-07-08|MENSUAL
POL-100209|VIDA|10001636S|ANULADO|2023-08-06|2024-08-05|MENSUAL
POL-100210|SALUD|10000426Y|ACTIVO|2024-08-12|2025-08-12|TRIMESTRAL
POL-100211|AUTO|10001047J|ANULADO|2023-12-29|2024-12-28|MENSUAL
POL-100212|VIDA|10001948Q|ANULADO|2024-03-10|2025-03-10|TRIMESTRAL
POL-100213|SALUD|10000056X|ACTIVO|2023-12-22|2024-12-21|MENSUAL
POL-100214|HOGAR|10001779S|ANULADO|2024-11-12|2025-11-12|MENSUAL
POL-100215|SALUD|10000628N|SUSPENSO|2024-05-06|2025-05-06|TRIMESTRAL
POL-100216|VIDA|10001253Z|ACTIVO|2024-03-18|2025-03-18|MENSUAL
POL-100217|SALUD|10000276A|ACTIVO|2024-01-12|2025-01-11|TRIMESTRAL
POL-100218|HOGAR|10000880N|SUSPENSO|2023-07-02|2024-07-01|ANUAL
POL-100219|SALUD|10000493G|SUSPENSO|2024-07-01|2025-07-01|TRIMESTRAL
POL-100220|VIDA|10001785K|SUSPENSO|2024-06-20|2025-06-20|ANUAL
POL-100221|AUTO|10000962M|SUSPENSO|2024-05-25|2025-05-25|ANUAL
POL-100222|VIDA|10000175S|ACTIVO|2024-08-25|2025-08-25|ANUAL
